,precinct,city_14,gent_rate,total,model_rate,MODEL_allocation
0,1.0,0.007388319825503069,0.010912793502027389,0.01830111332753046,0.009170880273007376,183.0
1,5.0,0.022186343904368837,0.002592311780575156,0.024778655684943994,0.012416844841392985,248.0
2,6.0,0.009580223681115411,0.013990284753146256,0.023570508434261665,0.011811429553815735,236.0
3,7.0,0.008874537561747536,0.01492095896703791,0.023795496528785445,0.011924173453096756,238.0
4,9.0,0.009965143382588798,0.02340558711059798,0.03337073049318678,0.01672242384923306,334.0
5,10.0,0.007121014477257661,0.031968612229726,0.03908962670698366,0.019588222860028193,392.0
6,13.0,0.011568975472061245,0.03003888192870372,0.04160785740076497,0.020850134732774188,417.0
7,14.0,0.021908346342193616,0.023580566568100786,0.0454889129102944,0.02279497244695018,456.0
8,17.0,0.0036246605222077285,0.024561239998554155,0.028185900520761885,0.014124251046189437,282.0
9,18.0,0.014669717511707973,0.033239913308572795,0.04790963082028077,0.02400801963866468,480.0
10,19.0,0.008211620298098925,0.011664728053776316,0.01987634835187524,0.009960247102859318,199.0
11,20.0,0.004298269999786155,0.004613645031336957,0.008911915031123112,0.00446585430574313,89.0
12,23.0,0.011536898830271796,0.007704905261290307,0.019241804091562103,0.009642270303573466,193.0
13,24.0,0.0063725595021705194,0.011995344618876554,0.018367904121047073,0.009204349841755338,184.0
14,25.0,0.020112054401984474,0.004547507383914862,0.024659561785899335,0.012357165636645304,247.0
15,26.0,0.006137330795714561,0.033456869063943885,0.039594199859658445,0.0198410697709969,397.0
16,28.0,0.012285353805358938,-0.003090083081858668,0.00919527072350027,0.004607846821879123,92.0
17,30.0,0.008329234651326903,-0.0007044963271281139,0.00762473832419879,0.003820836526871216,76.0
18,32.0,0.011675897611359409,-0.0026081921025591414,0.009067705508800268,0.004543922551804563,91.0
19,33.0,0.010424908581570901,-0.0010557425801379153,0.009369166001432986,0.004694987573669521,94.0
20,34.0,0.009494685969676881,0.012400235335974551,0.021894921305651432,0.010971775229597077,219.0
21,40.0,0.026313538481277935,0.040138416749416546,0.06645195523069448,0.03329977332095897,666.0
22,41.0,0.02501978059577016,0.02828071599594547,0.05330049659171563,0.026709439146477425,534.0
23,42.0,0.016444625024057483,0.007222140781070338,0.02366676580512782,0.011859665134231492,237.0
24,43.0,0.020635972884545474,-0.019100907633726582,0.001535065250818892,0.0007692373340662637,15.0
25,44.0,0.02754314308320681,-0.01311729590865242,0.014425847174554389,0.00722894366625903,145.0
26,45.0,0.0074845497508714155,0.034289374277422784,0.0417739240282942,0.020933352465551225,419.0
27,46.0,0.02466693753608622,0.004570434854240736,0.029237372390326956,0.014651154653289153,293.0
28,47.0,0.01801638047174048,0.007879394537987139,0.025895775009727617,0.012976645078400526,260.0
29,48.0,0.020251053183072087,-0.002652485222896766,0.01759856796017532,0.008818827404142957,176.0
30,49.0,0.009141842909992943,0.016518123095817818,0.02565996600581076,0.012858478707671296,257.0
31,50.0,0.005324722537048522,0.04721436364988498,0.0525390861869335,0.026327888388558523,527.0
32,52.0,0.02142719671535188,0.019341428204733724,0.04076862492008561,0.02042958651454358,409.0
33,60.0,0.01340803626798965,0.016551474516339475,0.029959510784329124,0.015013025793771805,300.0
34,61.0,0.011077133631289695,0.016263295681010335,0.027340429312300032,0.013700576535884397,274.0
35,62.0,0.009131150696063127,0.03966884395917318,0.04879999465523631,0.024454190316025037,489.0
36,63.0,0.008104698158800761,0.024166901842686224,0.03227160000148699,0.016171638005585662,323.0
37,66.0,0.006030408656416398,0.021335803191875422,0.02736621184829182,0.013713496435700518,274.0
38,67.0,0.02241088039689498,0.008665776372573228,0.031076656769468206,0.015572839390563727,311.0
39,68.0,0.006682633706135192,0.028778002828832822,0.03546063653496802,0.017769697736236347,355.0
40,69.0,0.01018967987511494,0.01617841963491555,0.02636809951003049,0.013213331850662058,264.0
41,70.0,0.013910570322691017,0.025473879589631137,0.03938444991232215,0.01973596186745766,395.0
42,71.0,0.014359643307743301,-0.007394512499977987,0.006965130807765315,0.0034903002664740234,70.0
43,72.0,0.010285909800483288,0.04409467564038449,0.054380585440867775,0.02725068302287504,545.0
44,73.0,0.028355751341872848,0.006830867326935109,0.035186618668807956,0.017632384502978642,353.0
45,75.0,0.040887026067617564,-0.019166240294229756,0.021720785773387808,0.010884514083835865,218.0
46,76.0,0.004886341765926052,0.011563999391039019,0.016450341156965073,0.008243438882688447,165.0
47,77.0,0.017962919402091396,0.004455173059962463,0.022418092462053858,0.011233941795739253,225.0
48,78.0,0.005014648333083849,0.00651088999442636,0.011525538327510208,0.005775568414439014,116.0
49,79.0,0.01832645467570515,-0.006921680086485869,0.01140477458921928,0.005715052435691379,114.0
50,81.0,0.015546479053952912,-0.01378783063055799,0.0017586484233949214,0.000881277212190476,18.0
51,83.0,0.01610247417830336,-0.04126884513428162,-0.02516637095597826,-0.01261113303944064,-252.0
52,84.0,0.013482881765498365,0.03851732652241021,0.05200020828790858,0.026057851008576122,521.0
53,88.0,0.008179543656309475,-0.010907320916025656,-0.0027277772597161815,-0.001366917859727002,-27.0
54,90.0,0.010563907362658512,0.02927419575221298,0.03983810311487149,0.019963292256138868,399.0
55,94.0,0.004886341765926052,0.04020539281765294,0.04509173458357899,0.022595942212223365,452.0
56,100.0,0.006736094775784274,0.0317660976617757,0.03850219243755997,0.019293853372405707,386.0
57,101.0,0.011173363556658041,-0.01023541511838203,0.0009379484382760119,0.0004700158223021221,9.0
58,102.0,0.015856553257917586,0.013926696591356221,0.02978324984927381,0.014924699586329061,298.0
59,103.0,0.02395055920278853,-9.468239827119808e-05,0.02385587680451733,0.01195443064399428,239.0
60,104.0,0.010970211491991531,0.012406474874236633,0.023376686366228167,0.011714303278031848,234.0
61,105.0,0.019331522785107885,0.008880243408923877,0.028211766194031762,0.014137212606969563,283.0
62,106.0,0.012766503432200671,0.011862816634777326,0.024629320066977996,0.012342011193387454,247.0
63,107.0,0.008233004725958558,0.00836273891066646,0.01659574363662502,0.008316301593742961,166.0
64,108.0,0.006768171417573723,0.027747893795276358,0.03451606521285008,0.017296363117220097,346.0
65,109.0,0.015161559352479525,0.03992087408354887,0.055082433436028394,0.027602386431201886,552.0
66,110.0,0.011194747984517674,0.018521048026531314,0.029715796011048987,0.014890897758907772,298.0
67,111.0,0.004116502362979279,0.037179802321158535,0.041296304684137815,0.02069401239137435,414.0
68,112.0,0.005870025447469153,0.007065054195734978,0.012935079643204131,0.006481904385084063,130.0
69,113.0,0.026741227038470587,-0.00018738594447384308,0.026553841093996743,0.013306408910936353,266.0
70,114.0,0.016744007014092337,0.015090983860797805,0.03183499087489014,0.015952848582534627,319.0
71,115.0,0.01719307999914462,0.012742097155003157,0.029935177154147778,0.015000831955888453,300.0
72,120.0,0.01676539144195197,0.002907596720114815,0.019672988162066786,0.009858341173987557,197.0
73,122.0,0.007388319825503069,0.013287115408321943,0.02067543523382501,0.010360677939548806,207.0
74,123.0,0.004768727412698073,0.0070587553697146485,0.011827482782412722,0.0059268759548848655,119.0
