,precinct,2018_no_rate,2017_no_rate,2016_no_rate,2015_no_rate,2014_no_rate,2013_no_rate,2012_no_rate,2011_no_rate,2010_no_rate
0,1.0,0.7373737373737373,0.8723404255319149,0.8679245283018868,0.9111111111111111,0.875,0.9197584124245038,0.9380936783491648,0.9407060121345836,0.8937040065412919
1,5.0,0.7471264367816092,0.5277777777777778,0.7875,0.8556149732620321,0.7818181818181819,0.8906810035842294,0.8907260963335729,0.8806927517639512,0.881574364332985
2,6.0,0.4077669902912621,0.6981132075471698,0.7096774193548387,0.8888888888888888,0.8878504672897196,0.9190887666928516,0.9450096233159198,0.9248476641841571,0.9249929238607416
3,7.0,0.7318840579710145,0.5272727272727272,0.7735849056603774,0.8242424242424242,0.7357357357357357,0.8151785714285714,0.8908883176235362,0.8817333014124971,0.8703473945409429
4,9.0,0.6779661016949152,0.5524861878453039,0.7875,0.6398467432950191,0.51010101010101,0.7533477321814255,0.8091631957591822,0.8332401714179244,0.8555147768978173
5,10.0,0.6144578313253012,0.6197183098591549,0.8,0.9196428571428571,0.6938775510204082,0.8408531583264971,0.8848711554447215,0.8999676270637746,0.874266862170088
6,13.0,0.5911602209944752,0.49743589743589745,0.7311827956989247,0.6404833836858006,0.6130346232179226,0.7967845659163987,0.8765013054830287,0.896991622239147,0.9172226340499136
7,14.0,0.6923076923076923,0.8235294117647058,0.8181818181818182,0.8231511254019293,0.822262118491921,0.9376450116009281,0.946338736724427,0.9343647444913268,0.9289072164948453
8,17.0,0.5161290322580645,0.6511627906976745,0.8157894736842105,0.8264462809917356,0.8300653594771242,0.8762677484787018,0.9158527422990232,0.9485436893203884,0.9565689467969598
9,18.0,0.7916666666666666,0.631578947368421,0.8673469387755102,0.89,0.950354609929078,0.8763102725366876,0.9036265950302216,0.9108175061932288,0.9165873771011734
10,19.0,0.5990783410138248,0.7109375,0.5824175824175825,0.56,0.6528497409326425,0.7593659942363112,0.8740326741186586,0.8777142857142857,0.8673708920187794
11,20.0,0.4647887323943662,0.6545454545454545,0.9117647058823529,0.8133333333333334,0.8153310104529616,0.8820895522388059,0.8974280465401102,0.9203742600725606,0.8899183763512023
12,22.0,0.8333333333333334,0.92,0.9583333333333334,0.8947368421052632,0.9156626506024096,0.8865248226950354,0.956081081081081,0.9625706214689266,0.9686998394863563
13,23.0,0.7665706051873199,0.6676300578034682,0.7985865724381626,0.8794117647058823,0.6926286509040334,0.9189331925006602,0.9524109959441189,0.9456509315350325,0.914877611249349
14,24.0,0.5597826086956522,0.7023809523809523,0.8333333333333334,0.7745664739884393,0.7418032786885246,0.8281068524970964,0.9027975343764817,0.8851159007726718,0.8611735330836454
15,25.0,0.8026905829596412,0.6649214659685864,0.7788461538461539,0.6909975669099757,0.6023622047244095,0.8507896924355777,0.8967519221716617,0.9158774934515415,0.87443904263276
16,26.0,0.5154639175257731,0.5844155844155844,0.7843137254901961,0.7422680412371134,0.6526315789473685,0.8924050632911392,0.9192784256559767,0.9002203967140854,0.8961152335224792
17,28.0,0.7685185185185185,0.6275862068965518,0.8414634146341463,0.8954248366013072,0.8376383763837638,0.9229222520107239,0.9558670046220367,0.941519798580911,0.9165469505028079
18,30.0,0.8058252427184466,0.7471264367816092,0.8191489361702128,0.8290598290598291,0.8119122257053292,0.8919898513954331,0.8993353866104717,0.9064900662251656,0.9005376344086021
19,32.0,0.65,0.5654450261780105,0.7325581395348837,0.7596439169139466,0.6923076923076923,0.901873610670054,0.9237272389446303,0.9072245120149312,0.8997668997668997
20,33.0,0.78125,0.6834170854271356,0.95,0.898876404494382,0.8933333333333333,0.9426636568848759,0.9337016574585635,0.9453202670075274,0.9185406149609913
21,34.0,0.7659574468085106,0.7291666666666666,0.8192771084337349,0.8870967741935484,0.7659033078880407,0.9302103250478011,0.9584496124031008,0.9624177346726706,0.9283823529411764
22,40.0,0.6655948553054662,0.6935483870967742,0.516728624535316,0.4174757281553398,0.2561247216035635,0.8693379790940766,0.942875902823375,0.9366308648954211,0.9363920750782064
23,41.0,0.6805555555555556,0.7701149425287356,0.7837837837837838,0.8500948766603416,0.9221674876847291,0.9303514376996805,0.9530832655905237,0.9556006708447348,0.920387854044399
24,42.0,0.7598425196850394,0.6466431095406361,0.5564516129032258,0.592,0.6489971346704871,0.879950495049505,0.9114804793196754,0.9366843885935234,0.9306684926816742
25,43.0,0.7222222222222222,0.6310679611650486,0.6287425149700598,0.5530864197530864,0.639344262295082,0.9020338983050847,0.9232285312060066,0.9305595740987211,0.9068393151994438
26,44.0,0.6742081447963801,0.7132867132867133,0.8969072164948454,0.8633405639913232,0.856390977443609,0.8361466821885913,0.9133904242896068,0.9252203750813465,0.9068072569390603
27,45.0,0.8640776699029126,0.8608695652173913,0.6530612244897959,0.8931297709923665,0.8624161073825504,0.9218884120171674,0.9191489361702128,0.9354718388660948,0.9351946199307112
28,46.0,0.7026022304832714,0.6594982078853047,0.8690476190476191,0.8571428571428571,0.8706896551724138,0.9391891891891891,0.9545131485429993,0.9771832628663071,0.9595874905676197
29,47.0,0.7884615384615384,0.6923076923076923,0.6324786324786325,0.6091743119266055,0.5359116022099447,0.904610492845787,0.9297049620026822,0.9159656181419166,0.8795541335535143
30,48.0,0.7729468599033816,0.7945205479452054,0.8666666666666667,0.79,0.8,0.9347368421052632,0.9644567219152854,0.9329534662867996,0.862201482294812
31,49.0,0.7323943661971831,0.6571428571428571,0.8858560794044665,0.8192771084337349,0.8757894736842106,0.935247403787416,0.9395984769816546,0.955503237198352,0.9477930160193615
32,50.0,0.8222222222222222,0.8,0.9294117647058824,0.9212121212121213,0.9534883720930233,0.9167579408543264,0.8891921397379913,0.8866939992545658,0.9007145543437383
33,52.0,0.7729468599033816,0.7347826086956522,0.95,0.9027777777777778,0.9272388059701493,0.9190427698574338,0.9545408215268576,0.9518610785463072,0.9141741186144516
34,60.0,0.6436781609195402,0.5806451612903226,0.43636363636363634,0.7971311475409836,0.8986975397973951,0.9363555158552925,0.9357739242132306,0.9326768488745981,0.9252842447211694
35,61.0,0.6788321167883211,0.618421052631579,0.65,0.7777777777777778,0.923469387755102,0.9610788665073404,0.9711509715994021,0.9599697885196374,0.9505423791138077
36,62.0,0.6494845360824743,0.5607476635514018,0.8108108108108109,0.81640625,0.9271844660194175,0.9623444662737394,0.9563855960635205,0.9557582668187001,0.9638263665594855
37,63.0,0.7668711656441718,0.813953488372093,0.9512195121951219,0.9532163742690059,0.9224137931034483,0.9489993544222078,0.9462189462189462,0.948309705561614,0.9567990721948391
38,66.0,0.9454545454545454,0.8076923076923077,0.7142857142857143,0.8098290598290598,0.8948497854077253,0.8981481481481481,0.9062590975254731,0.9148157825973348,0.8492263404102195
39,67.0,0.7785467128027682,0.8114754098360656,0.9629629629629629,0.9479843953185956,0.9254807692307693,0.9474171878619412,0.9721196454948301,0.9679217902696097,0.9640853913771452
40,68.0,0.7,0.5764705882352941,0.8571428571428571,0.8571428571428571,0.8532110091743119,0.9042821158690176,0.9280406726632773,0.8889273356401384,0.9022356953391436
41,69.0,0.7197452229299363,0.6807228915662651,0.75,0.8862275449101796,0.9255702280912365,0.9450360700790107,0.9687092568448501,0.9674677129311754,0.9568991775814804
42,70.0,0.7391304347826086,0.6972477064220184,0.8452380952380952,0.9461400359066428,0.9431438127090301,0.962310934787999,0.9864864864864865,0.9793563068920677,0.9714313477796133
43,71.0,0.8770949720670391,0.845,0.8686868686868687,0.873015873015873,0.9065934065934066,0.9115384615384615,0.9242942686056459,0.9123711340206185,0.9628397115917915
44,72.0,0.7875647668393783,0.6,0.5789473684210527,0.8657718120805369,0.9333333333333333,0.9302428256070641,0.955760723216003,0.9681811666905547,0.9232346241457858
45,73.0,0.7597173144876325,0.7178423236514523,0.8773584905660378,0.8350877192982457,0.859122401847575,0.9607549056367954,0.9768376377099512,0.9544244447093416,0.9631506218332566
46,75.0,0.8032407407407407,0.8431372549019608,0.908256880733945,0.856353591160221,0.8004362050163577,0.9493360277136259,0.9749262536873157,0.9644694533762058,0.9597965699012547
47,76.0,0.7127659574468085,0.5168539325842697,0.6486486486486487,0.8470588235294118,0.9205607476635514,0.9453574363188167,0.9366071428571429,0.9467696930671818,0.945474372955289
48,77.0,0.7692307692307693,0.7980295566502463,0.90625,0.8741258741258742,0.8498659517426274,0.9439279488669379,0.9626535131870344,0.9568610258658483,0.9511996378451788
49,78.0,0.5596330275229358,0.7901234567901234,0.8679245283018868,0.9156626506024096,0.9461077844311377,0.9707903780068728,0.9698262724779031,0.9530239099859353,0.9697169190256748
50,79.0,0.7956521739130434,0.759493670886076,0.8714285714285714,0.8969072164948454,0.859504132231405,0.9381499726327313,0.9680266771282856,0.961986892031735,0.9498170412963931
51,81.0,0.7398373983739838,0.7803030303030303,0.8607594936708861,0.9327731092436975,0.7819548872180451,0.922316384180791,0.961273045627768,0.966302834957146,0.9504258180188256
52,83.0,0.6986301369863014,0.8203125,0.7183098591549296,0.7344398340248963,0.8249097472924187,0.9328822733423545,0.9514012361358056,0.9485387124692097,0.9284595300261097
53,84.0,0.6616541353383458,0.6666666666666666,0.8461538461538461,0.8782287822878229,0.9286384976525821,0.9392165691130122,0.9464751958224543,0.9428461833525125,0.9158256880733945
54,88.0,0.6055045871559633,0.8170731707317073,0.8529411764705882,0.7788461538461539,0.8728323699421965,0.9466106778644271,0.9277067921990585,0.9262994569433669,0.9348203552824896
55,90.0,0.8092105263157895,0.72,0.7976878612716763,0.9006849315068494,0.8462809917355372,0.9346956908040871,0.9517570587040423,0.9685756575202095,0.9343789088809776
56,94.0,0.7971014492753623,0.6526315789473685,0.9111111111111111,0.8571428571428571,0.8507462686567164,0.8888888888888888,0.9302103250478011,0.9322787938704894,0.9325666492420283
57,100.0,0.660377358490566,0.6363636363636364,0.8095238095238095,0.8924050632911392,0.855,0.940668202764977,0.9433414043583536,0.9295774647887324,0.9034025374855824
58,101.0,0.7301587301587301,0.84,0.8214285714285714,0.8285714285714286,0.9488559892328399,0.9641544117647058,0.9586489252814739,0.9540428472702143,0.9205556110722495
59,102.0,0.7532467532467533,0.8529411764705882,0.927710843373494,0.8985507246376812,0.8569009314140559,0.8628450106157113,0.8799824791940429,0.9222011385199241,0.8948370211753509
60,103.0,0.9004524886877828,0.8427672955974843,0.8135593220338984,0.91875,0.8923076923076924,0.9227346278317152,0.9196057292468812,0.9301539179104478,0.9312423873325213
61,104.0,0.921875,0.6981132075471698,0.8461538461538461,0.7557251908396947,0.7545271629778671,0.8695945945945946,0.9100756182301246,0.9186790805935409,0.9562639968383612
62,105.0,0.8106060606060606,0.7839506172839507,0.7692307692307693,0.7925636007827789,0.892271662763466,0.9407321324811156,0.8937545742864114,0.8967419058318864,0.9136144454704012
63,106.0,0.7,0.8293838862559242,0.8835443037974684,0.9149223497636731,0.9349192100538599,0.9427764040974921,0.939430165371588,0.9693393497628139,0.945654747809614
64,107.0,0.6893203883495146,0.8461538461538461,0.8846153846153846,0.9280701754385965,0.8982430453879942,0.9114719748559456,0.9277352543899144,0.9346229625649293,0.949873568347464
65,108.0,0.6883116883116883,0.7066666666666667,0.8387096774193549,0.9456521739130435,0.927710843373494,0.9566265060240964,0.948486328125,0.9283276450511946,0.931781106332493
66,109.0,0.7628865979381443,0.8827160493827161,0.823076923076923,0.7918552036199095,0.8771526980482205,0.9077500670421025,0.9229498037595538,0.9340796019900498,0.9645098039215686
67,110.0,0.48201438848920863,0.49640287769784175,0.5072463768115942,0.6510416666666666,0.7824267782426778,0.865911582024114,0.9343234323432343,0.9372857804539139,0.9541341870824054
68,111.0,0.7326732673267327,0.6133333333333333,0.8070175438596491,0.8743718592964824,0.9293893129770993,0.9482551143200962,0.9520255863539445,0.9455128205128205,0.9402763018065887
69,112.0,0.5394736842105263,0.7368421052631579,0.8409090909090909,0.9542857142857143,0.9353846153846154,0.9385665529010239,0.9199714183637013,0.9163486938655708,0.9089201877934272
70,113.0,0.8333333333333334,0.8275862068965517,0.8571428571428571,0.9202453987730062,0.915680473372781,0.9528041679436102,0.9338369963369964,0.951856946354883,0.9323792877430631
71,114.0,0.5078740157480315,0.6828571428571428,0.8565737051792829,0.8983739837398373,0.8732809430255403,0.9088607594936708,0.933601134215501,0.9284540268780818,0.9384587122255902
72,115.0,0.6746987951807228,0.7111111111111111,0.6125,0.8484848484848485,0.8585365853658536,0.7919123841617524,0.9424888448190382,0.9630425203789381,0.9638451116023675
73,120.0,0.639344262295082,0.665,0.8709677419354839,0.9317773788150808,0.9498448810754913,0.9332010582010583,0.9309508408796895,0.9230442692540934,0.9402558152085919
74,122.0,0.48484848484848486,0.573170731707317,0.8307692307692308,0.937984496124031,0.9697297297297297,0.9580169718624386,0.9638629283489096,0.9640272679601468,0.9715194667474625
75,123.0,0.8888888888888888,0.6290322580645161,0.4883720930232558,0.7637795275590551,0.7819314641744548,0.9332688588007737,0.9530927835051546,0.9481993093241243,0.9499575911789653
